RatID,Stage,Trial,Left Medium,Left Odor,Right Medium,Right Odor,Correct/Incorrect,Rewarded,Investigation,Omit/Note,nLatency,Latency,First Response (side),First Response (correct?)
40,SD,1,M5,O,M6,O,0,M6,Choice 1,,0:09,9,L,0
40,SD,2,M6,O,M5,O,1,M6,Choice 1,,0:03,3,L,1
40,SD,3,M6,O,M5,O,1,M6,Choice 2,,0:04,4,L,0
40,SD,4,M5,O,M6,O,1,M6,Choice 2,,0:04,4,L,0
40,SD,5,M6,O,M5,O,1,M6,Choice 1,,0:03,3,L,1
40,SD,6,M6,O,M5,O,1,M6,Choice 2,,0:07,7,R,0
40,SD,7,M5,O,M6,O,1,M6,Choice 2,,0:04,4,L,0
40,CD,1,M5,O5,M6,O6,1,M6,Choice 2,,0:12,12,R,1
40,CD,2,M6,O6,M5,O5,1,M6,Choice 1,,0:04,4,L,1
40,CD,3,M6,O5,M5,O6,0,M6,Choice 1,,0:07,7,R,0
40,CD,4,M5,O6,M6,O5,0,M6,Choice 1,,0:08,8,L,0
40,CD,5,M6,O6,M5,O5,1,M6,Choice 1,,0:03,3,L,1
40,CD,6,M6,O5,M5,O6,1,M6,Choice 1,,0:03,3,L,1
40,CD,7,M5,O5,M6,O6,1,M6,Choice 2,,0:09,9,L,0
40,CD,8,M6,O6,M5,O5,1,M6,Choice 1,,0:04,4,L,1
40,CD,9,M5,O6,M6,O5,1,M6,Choice 2,,0:05,5,L,0
40,CD,10,M6,O5,M5,O6,1,M6,Choice 1,,0:03,3,L,1
40,REV1,1,M5,O5,M6,O6,1,M5,Choice 1,,0:04,4,L,1
40,REV1,2,M6,O6,M5,O5,0,M5,Choice 1,,0:05,5,L,0
40,REV1,3,M6,O5,M5,O6,1,M5,Choice 1,,0:04,4,R,1
40,REV1,4,M5,O6,M6,O5,1,M5,Choice 1,,0:03,3,L,1
40,REV1,5,M6,O6,M5,O5,0,M5,Choice 1,,0:04,4,L,0
40,REV1,6,M6,O5,M5,O6,0,M5,Choice 1,,0:04,4,L,0
40,REV1,7,M5,O5,M6,O6,1,M5,Choice 1,,0:04,4,R,1
40,REV1,8,M6,O6,M5,O5,0,M5,Choice 1,,0:04,4,L,0
40,REV1,9,M5,O6,M6,O5,1,M5,Choice 1,,0:03,3,L,1
