RatID,Stage,Trial,Left Medium,Left Odor,Right Medium,Right Odor,Correct/Incorrect,Rewarded,Investigation,Omit/Note,nLatency,Latency,First Response (side),First Response (correct?)
41,SD,1,M,O3,M,O4,1,O3,Choice 2,,0:22,22,R,0
41,SD,2,M,O4,M,O3,0,O3,Choice 1,,0:05,5,L,0
41,SD,3,M,O3,M,O4,1,O3,Choice 1,,0:03,3,L,1
41,SD,4,M,O4,M,O3,0,O3,Choice 1,,0:06,6,L,0
41,SD,5,M,O4,M,O3,1,O3,Choice 1,,0:04,4,R,1
41,SD,6,M,O3,M,O4,1,O3,Choice 1,,0:03,3,L,1
41,SD,7,M,O3,M,O4,1,O3,Choice 2,,0:11,11,R,0
41,SD,8,M,O4,M,O3,1,O3,Choice 1,,0:04,4,R,1
41,SD,9,M,O4,M,O3,1,O3,Choice 1,,0:04,4,R,1
41,SD,10,M,O3,M,O4,1,O3,Choice 1,,0:04,4,L,1
41,CD,1,M3,O3,M4,O4,1,O3,Choice 1,,0:04,4,L,1
41,CD,2,M4,O4,M3,O3,0,O3,Choice 1,,0:05,5,L,0
41,CD,3,M4,O3,M3,O4,1,O3,Choice 1,,0:04,4,L,1
41,CD,4,M3,O4,M4,O3,0,O3,Choice 1,,0:05,5,L,0
41,CD,5,M4,O4,M3,O3,1,O3,Choice 1,,0:04,4,R,1
41,CD,6,M4,O3,M3,O4,1,O3,Choice 1,,0:04,4,L,1
41,CD,7,M3,O3,M4,O4,1,O3,Choice 1,,0:06,6,L,1
41,CD,8,M4,O4,M3,O3,1,O3,Choice 1,,0:04,4,R,1
41,CD,9,M3,O4,M4,O3,1,O3,Choice 2,,0:05,5,L,0
41,CD,10,M4,O3,M3,O4,1,O3,Choice 1,,0:04,4,L,1
41,REV1,1,M3,O3,M4,O4,1,O4,Choice 1,,0:07,7,R,1
41,REV1,2,M4,O4,M3,O3,0,O4,Choice 1,,0:04,4,R,0
41,REV1,3,M4,O3,M3,O4,0,O4,Choice 1,,0:05,5,L,0
41,REV1,4,M3,O4,M4,O3,1,O4,Choice 1,,0:04,4,L,1
41,REV1,5,M4,O4,M3,O3,1,O4,Choice 1,,0:04,4,L,1
41,REV1,6,M4,O3,M3,O4,0,O4,Choice 1,,0:04,4,L,0
